body,event.name,framework.duration_ms,framework.event_id,framework.field.ataques,framework.field.atributos,framework.field.autenticacoes,framework.field.checagens,framework.field.ciphers,framework.field.conceitos,framework.field.dados,framework.field.durationMs,framework.field.encaminhamentos,framework.field.encerramento,framework.field.hardening,framework.field.host,framework.field.httpStatus,framework.field.ip,framework.field.login,framework.field.metodo,framework.field.mitigacoes,framework.field.modo,framework.field.passos,framework.field.passosSelecao,framework.field.protecoes,framework.field.protocolo,framework.field.resultado,framework.field.rota,framework.field.status,framework.field.statusCalc,framework.field.tipoServido,framework.field.tipoSolicitado,framework.field.total,framework.field.traceId,framework.field.veredito,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=http_access status=ok durationMs=3 httpStatus=200,http_access,3,0764bcf3-2403-4176-a9ec-c4d2e6b0a0a4,,,,,,,,3,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/seguranca,INFO,1788807885000000000,a9239da229a74f10b61b8de7dfecb2b8
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,8325216c-3bee-403c-937d-f0415cd2d616,,,,,,,,2,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807877000000000,7765ac345aa6498c9f7c661ce20b90f4
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,065aa0b5-f800-4574-b7e9-85b6412be6eb,,,,,,,,2,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/diagnostico,INFO,1788807877000000000,80c647a35387453fb9afeea5a18c3be7
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,417d5fc0-c781-44ac-931b-71490b57fe9d,,,,,,,,2,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/simuladores/api/anomalia-tcp,INFO,1788807873000000000,63260e474817484f8c0d973412b01da7
evento=anomalia_tcp status=ok passos=7 tipoServido=syn-flood tipoSolicitado=syn-flood,anomalia_tcp,,0a331a8e-c26d-4976-b235-9f381a82612f,,,,,,,,,,,,,,,,,,,7,,,,,,,,syn-flood,syn-flood,,,,simuladores,ok,GET,,/simuladores/api/anomalia-tcp,INFO,1788807873000000000,63260e474817484f8c0d973412b01da7
evento=http_access status=ok durationMs=4 httpStatus=200,http_access,4,6a50dce6-52ca-4dbb-9ba7-59af756fef28,,,,,,,,4,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/simuladores/api/handshake,INFO,1788807873000000000,2dd73e10d9034ed8a65492e2f0050bf4
evento=handshake status=ok dados=true encerramento=true passos=9,handshake,,b57099b6-f614-4756-92e8-2621e645e64a,,,,,,,true,,,true,,,,,,,,,9,,,,,,,,,,,,,simuladores,ok,GET,,/simuladores/api/handshake,INFO,1788807873000000000,2dd73e10d9034ed8a65492e2f0050bf4
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,30086822-569f-4e02-b5e2-046d72ae3bee,,,,,,,,1,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807873000000000,85496fa5ae274b38877811d422064705
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,dbbb04e7-4f4c-466f-9b87-529f0683116c,,,,,,,,1,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego,INFO,1788807873000000000,b045ed13052f4512a438f19ee66817b7
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,88e4a883-a27e-4af0-8c8e-ef67305a9c0f,,,,,,,,1,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/history,INFO,1788807870000000000,b25da4393c2d478185198a1aafde5d60
evento=http_access status=ok durationMs=24 httpStatus=200,http_access,24,440ed77e-7114-46d4-adf9-aca71221eff9,,,,,,,,24,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/api/informacoes/geo,INFO,1788807870000000000,e1d65ee70b214958ac8558de90e3f6ff
evento=history_persist status=ok status=ok total=60,history_persist,,28bb76db-4a6b-48a6-85cd-4c2138808879,,,,,,,,,,,,,,,,,,,,,,,,,ok,,,,60,,,analiseDidatica,ok,GET,,/api/informacoes/geo,INFO,1788807870000000000,e1d65ee70b214958ac8558de90e3f6ff
evento=geo_lookup status=ok ip=visitante-002 status=start,geo_lookup,,5eac58cd-f125-4cbe-bcf0-b9edf3344f38,,,,,,,,,,,,,,visitante-002,,,,,,,,,,,start,,,,,,,analiseDidatica,ok,GET,,/api/informacoes/geo,INFO,1788807870000000000,e1d65ee70b214958ac8558de90e3f6ff
evento=http_access status=ok durationMs=0 httpStatus=200,http_access,0,a353e223-1279-4ba6-979c-7d884ec2d8f4,,,,,,,,0,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/history,INFO,1788807870000000000,1f601bef34fd4af28a93f6a4c8de5fdc
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,a364c153-cb9b-46ef-bc0a-6699f48954da,,,,,,,,1,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807870000000000,7d533bec173b4b7788e764cfe96390b3
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,75648a47-590f-483a-9b72-fc69e17bd876,,,,,,,,1,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/localizacao,INFO,1788807870000000000,9e71262bb84b4106a726bf90fff44e3e
evento=http_access status=ok durationMs=0 httpStatus=200,http_access,0,b09de4de-68c0-4bf9-865d-0af189ff251a,,,,,,,,0,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807857000000000,30ecddbdf54549b3aab2065162c6f0f1
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,b015714f-d4f2-4f48-b3fc-3328b602cc42,,,,,,,,2,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/resolucao-problemas,INFO,1788807857000000000,ec10483264f2481fac40d824713b89f1
evento=http_access status=ok durationMs=4 httpStatus=200,http_access,4,0a37cdc0-2528-465a-a63e-6f707691ea13,,,,,,,,4,,,,,200,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807842000000000,ecb2f1d008b24d4b83b147c999d34889
