body,event.name,framework.duration_ms,framework.event_id,framework.field.ataques,framework.field.autenticacoes,framework.field.blocos,framework.field.campos,framework.field.checagens,framework.field.ciphers,framework.field.conceitos,framework.field.dados,framework.field.durationMs,framework.field.encaminhamentos,framework.field.encerramento,framework.field.enderecos,framework.field.estrategia,framework.field.exibidos,framework.field.extras,framework.field.formatos,framework.field.hardening,framework.field.host,framework.field.httpStatus,framework.field.ip,framework.field.login,framework.field.mitigacoes,framework.field.pagina,framework.field.passos,framework.field.prefixoAlvo,framework.field.prefixoBase,framework.field.prefixoResumo,framework.field.prefixoVlan,framework.field.protocolo,framework.field.redes,framework.field.resultado,framework.field.status,framework.field.tabelas,framework.field.tipoServido,framework.field.tipoSolicitado,framework.field.tipos,framework.field.total,framework.field.totalSubredes,framework.field.truncado,framework.field.veredito,framework.field.vlans,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=catalog_load status=ok total=30,catalog_load,,0fa62802-02f9-4594-8110-5f60c25e7f49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,portas,ok,GET,,/portas,INFO,1788807756000000000,b885e1bdd74f47c1b4fe4a7f57a72cac
evento=http_access status=ok,http_access,1,a9d2022a-c15e-4955-bb90-6d42302a0215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788807750000000000,5d6193b4ae9241f890f5643dd5e5e816
evento=http_access status=ok,http_access,1,9e38efb4-9974-431e-abd3-2d6b7876fd8d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1788807748000000000,5296c575fe6542199c7d06784fe7ffdd
evento=http_access status=ok,http_access,1,52962402-53d9-4b3a-81f7-95fcd2c9e881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788806384000000000,88d4fd28c179470b92df87b1430ee4dd
evento=http_access status=ok,http_access,6,c8b2c973-ce56-4023-a5a5-a9b8a4fc54ab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1788806383000000000,922a707aab134fca90016e9b5cbb2ced
evento=catalog_load status=ok total=30,catalog_load,,d2c017ad-1249-4ca5-8b84-d4735ab315aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,portas,ok,GET,,/portas,INFO,1788806383000000000,922a707aab134fca90016e9b5cbb2ced
evento=http_access status=ok,http_access,1,4ecf1032-6669-4154-bfee-0121df48fe92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788806379000000000,b0065df46ae84f19896f5dbc03cf9ff3
evento=http_access status=ok,http_access,10,2e8bb2ee-26a8-4fd9-a498-f910ca5d4dd2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/ipv4,INFO,1788806379000000000,884d9493d7264e9a92d2af190396b879
evento=aprofundamento_view status=ok ataques=5 conceitos=6 protocolo=ipv4,aprofundamento_view,,13bad2fe-3664-4ee7-9081-5c011857b739,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,ipv4,,,,,,,,,,,,,protocolos,ok,GET,,/protocolos/ipv4,INFO,1788806379000000000,884d9493d7264e9a92d2af190396b879
evento=http_access status=ok,http_access,1,f8551da6-61d7-47c8-a5ed-4cb7af122ffa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1788806379000000000,3139039d4e55443384e7ebe513b02a16
evento=http_access status=ok,http_access,16,76a6d053-5e17-43d9-96cd-09a945e64f6e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/tcp,INFO,1788806379000000000,c6c04d2e23824f4180b1e9e597b20e07
